新字体,旧字体
亜,亞
悪,惡
圧,壓
囲,圍
医,醫
壱,壹
稲,稻
飲,飮
隠,隱
営,營
栄,榮
衛,衞
駅,驛
円,圓
塩,鹽
縁,緣
艶,艷
欧,歐
殴,毆
黄,黃
奥,奧
横,橫
温,溫
穏,穩
仮,假
価,價
画,畫
会,會
廻,廻󠄀
回,囘
壊,壞
懐,懷
絵,繪
概,槪
拡,擴
殻,殼
覚,覺
岳,嶽
学,學
楽,樂
喝,喝
渇,渴
巻,卷
寛,寬
歓,歡
関,關
陥,陷
岩,巖
顔,顏
帰,歸
気,氣
亀,龜
偽,僞
犠,犧
却,卻
旧,舊
拠,據
挙,擧
虚,虛
峡,峽
挟,挾
教,敎
強,强
狭,狹
郷,鄕
区,區
駆,驅
勲,勳
薫,薰
径,徑
恵,惠
掲,揭
渓,溪
経,經
継,繼
茎,莖
蛍,螢
軽,輕
鶏,鷄
芸,藝
欠,缺
倹,儉
剣,劍
圏,圈
検,檢
権,權
献,獻
県,縣
険,險
顕,顯
験,驗
厳,嚴
広,廣
効,效
恒,恆
鉱,鑛
号,號
国,國
黒,黑
砕,碎
済,濟
斎,齋
剤,劑
雑,雜
参,參
惨,慘
蚕,蠶
賛,贊
残,殘
糸,絲
歯,齒
児,兒
辞,辭
湿,濕
実,實
舎,舍
写,寫
釈,釋
寿,壽
収,收
従,從
渋,澁
獣,獸
縦,縱
粛,肅
処,處
緒,緖
叙,敍
奨,奬
将,將
証,證
条,條
状,狀
乗,乘
浄,淨
剰,剩
畳,疊
嬢,孃
譲,讓
醸,釀
触,觸
嘱,囑
真,眞
寝,寢
慎,愼
尽,盡
図,圖
粋,粹
酔,醉
穂,穗
随,隨
髄,髓
枢,樞
数,數
瀬,瀨
声,聲
斉,齊
静,靜
窃,竊
摂,攝
専,專
浅,淺
戦,戰
践,踐
銭,錢
潜,潛
繊,纖
禅,禪
双,雙
壮,壯
捜,搜
挿,插
争,爭
荘,莊
装,裝
騒,騷
層,層
巣,巢
憎,憎
贈,贈
払,拂
即,卽
属,屬
続,續
堕,墮
体,體
対,對
帯,帶
滞,滯
台,臺
滝,瀧
択,擇
沢,澤
奪,奪
胆,膽
担,擔
単,單
団,團
弾,彈
遅,遲
痴,癡
稚,穉
昼,晝
鋳,鑄
著,著
庁,廳
徴,徵
聴,聽
鎮,鎭
塚,塚
逓,遞
鉄,鐵
転,轉
点,點
伝,傳
党,黨
盗,盜
灯,燈
当,當
祷,禱
闘,鬭
徳,德
独,獨
読,讀
届,屆
弐,貳
悩,惱
脳,腦
覇,霸
拝,拜
廃,廢
売,賣
麦,麥
発,發
髪,髮
抜,拔
晩,晚
蛮,蠻
秘,祕
浜,濱
瓶,甁
付,附
仏,佛
併,倂
並,竝
変,變
辺,邊
歩,步
宝,寶
萌,萠
褒,襃
豊,豐
没,沒
翻,飜
毎,每
万,萬
満,滿
黙,默
餅,餠
戻,戾
弥,彌
薬,藥
訳,譯
薮,藪
喩,喩
愉,愉󠄁
輸,輸
与,與
誉,譽
揺,搖
様,樣
謡,謠
来,來
頼,賴
乱,亂
覧,覽
竜,龍
隆,隆
虜,虜
両,兩
猟,獵
緑,綠
涙,淚
励,勵
礼,禮
霊,靈
齢,齡
暦,曆
歴,歷
恋,戀
錬,鍊
炉,爐
労,勞
廊,廊
郎,郞
朗,朗󠄃
録,錄
湾,灣
亘,亙
凛,凜
尭,堯
曽,曾
桧,檜
槙,槇
渚,渚
猪,猪
琢,琢
祢,禰
禄,祿
禎,禎
遥,遙
熙,煕
海,海
社,社
神,神
祉,祉
祐,祐
祖,祖
祝,祝
器,器
突,突
梅,梅
敏,敏
卑,卑
免,免
勉,勉
勤,勤
漢,漢
難,難
益,益
墨,墨
層,層
憎,憎
懲,懲
海,海
練,練
諸,諸
猶,猶󠄁
尚,尙
道,道󠄁
進,進󠄁
運,運󠄁
週,週󠄁
達,達󠄁
選,選󠄁
連,連
通,通󠄁
造,造󠄁
追,追󠄁
逃,逃󠄂
近,近󠄁
返,返󠄁
透,透󠄁
送,送󠄁
逸,逸󠄁
遂,遂󠄂
遇,遇󠄁
過,過󠄁
違,違󠄂
遠,遠󠄁
遅,遲
遣,遣󠄁
避,避󠄁
謎,謎󠄁
尊,尊󠄁
遵,遵󠄁
辻󠄀,辻󠄁
込,込󠄁
辿,辿󠄁
迂,迂󠄁
巡,巡󠄁
迅,迅󠄁
迎,迎󠄁
述,述󠄁
迪,迪󠄁
迫,迫󠄁
迭,迭󠄁
迷,迷󠄁
逆,逆󠄁
退,退󠄁
逅,逅󠄁
途,途󠄁
逝,逝󠄁
速,速󠄁
逐,逐󠄁
逢,逢󠄁
逮,逮󠄁
逞,逞󠄁
逼,逼󠄁
遍,遍󠄁
遊,遊󠄁
適,適󠄁
遭,遭󠄁
遮,遮󠄁
遺,遺󠄁
遼,遼󠄁
還,還󠄁
食,食󠄁
飲,飮
飼,飼󠄁
餓,餓󠄁
館,館󠄁
飾,飾󠄁
餅,餠
養,養󠄁
飽,飽󠄁
既,旣
概,槪
慨,慨󠄁
節,節󠄁
饗,饗󠄁
昂,昂󠄁
分,分󠄁
公,公󠄁
半,半󠄁
松,松󠄁
谷,谷󠄁
沿,沿󠄂
鉛,鉛󠄁
船,船󠄁
頌,頌󠄁
翁,翁󠄁
平,平󠄁
兌,兌󠄁
悦,悦󠄁
税,税󠄁
脱,脱󠄁
鋭,鋭󠄁
説,説󠄁
閲,閲󠄁
史,史󠄁
文,文󠄁
吏,吏󠄁
更,更󠄁
父,父󠄁
交,交󠄁
支,支󠄁
丈,丈󠄁
求,求󠄁
殺,殺
嘆,嘆
者,者
猶,猶󠄁
尚,尙
巻,卷
月,月󠄁
有,有󠄁
育,育󠄁
肩,肩󠄁
胃,胃󠄁
能,能󠄁
胡,胡󠄁
肖,肖󠄁
胤,胤󠄁
脊,脊󠄁
脅,脅󠄁
脆,脆󠄁
脂,脂󠄁
脇,脇󠄁
胴,胴󠄁
胸,胸󠄁
脈,脈󠄁
脚,脚󠄁
脱,脫
脳,腦
悩,惱
服,服󠄁
朕,朕󠄁
勝,勝󠄁
朝,朝󠄁
明,明󠄁
期,期󠄁
朗,朗󠄃
骨,骨󠄁
髄,髓
豚,豚󠄁
望,望󠄂
程,程󠄁
呈,呈󠄁
聖,聖󠄁
廷,廷󠄁
庭,庭󠄁
皇,皇󠄁
全,全󠄁
戻,戾
草,草󠄁
花,花󠄁
茶,茶󠄁
英,英󠄁
苦,苦󠄁
若,若󠄁
菜,菜󠄁
薄,薄󠄁
暮,暮󠄁
夢,夢󠄁
幕,幕󠄁
菓,菓󠄁
華,華󠄁
葉,葉󠄁
蔵,藏
蔑,蔑󠄁
葬,葬󠄁
蒸,蒸󠄁
落,落󠄁
著,著󠄁
荒,荒󠄁
蓄,蓄󠄁
藤,藤󠄁
藩,藩󠄁
蘇,蘇󠄁
角,角󠄁
解,解󠄁
嘴,嘴󠄁
福,福
祈,祈
視,視
褐,褐
都,都
渚,渚
猪,猪
琢,琢
祐,祐
余,餘
予,豫
亡,亡󠄁
主,主󠄁
住,住󠄁
注,注󠄁
柱,柱󠄁
駐,駐󠄁
往,往󠄁
所,所󠄁
戸,戶
房,房󠄁
扉,扉󠄁
扁,扁󠄁
扇,扇󠄁
雇,雇󠄁
採,採󠄁
采,采󠄁
彩,彩󠄁
判,判󠄁
的,的󠄁
約,約󠄁
凡,凡󠄁
音,音󠄁
響,響󠄁
韻,韻󠄁
意,意󠄁
暗,暗󠄁
絶,絕
内,內
晴,晴
説,說
税,稅
閲,閱
青,靑
清,淸
情,情󠄁
精,精
請,請󠄁
次,次󠄁
資,資󠄁
姿,姿󠄁
茨,茨󠄁
咨,咨󠄁
諮,諮󠄁
兼,兼󠄁
廉,廉
潔,潔󠄁
嫌,嫌󠄁
謙,謙󠄁
忍,忍󠄁
認,認󠄁
刃,刃󠄁
靭,靭󠄁
断,斷
継,繼
観,觀
勧,勸
権,權
歓,歡
編,編󠄁
偏,偏󠄁
遍,遍󠄁
篇,篇󠄁
伴,伴󠄁
畔,畔󠄁
間,閒
関,關
化,化󠄁
貨,貨󠄁
靴,靴󠄁
囮,囮󠄁
応,應
飯,飯
概,槪
臓,臟
総,總
帯,帶
為,爲
脱,脫
暁,曉
前,前󠄁
崩,崩󠄁
具,具󠄁
斎,齋
要,要󠄁
週,週󠄁
調,調󠄁
周,周
納,納󠄁
導,導󠄁
尋,尋󠄁
掃,掃󠄁
使,使󠄁
建,建󠄁
署,署
延,延󠄂
誕,誕󠄁
筵,筵󠄁
庭,庭󠄁
艇,艇󠄁
率,率󠄁
磁,磁󠄁
慈,慈󠄁
滋,滋󠄁
構,構󠄁
講,講󠄁
購,購󠄂
溝,溝󠄁
再,再󠄀
冉,冉󠄁
髯,髯󠄁
麻,麻󠄁
摩,摩󠄁
磨,磨󠄁
魔,魔󠄁
麾,麾󠄁
博,博󠄁
縛,縛󠄁
簿,簿󠄁
敷,敷󠄁
弱,弱󠄁
僧,僧󠄁
曽,曾󠄁
消,消󠄁
肖,肖󠄁
削,削󠄁
割,割
害,害󠄂
空,空󠄁
終,終󠄁
冬,冬
唐,唐󠄁
糖,糖
増,增
研,硏
産,產
彦,彥
顔,顏
撃,擊
歳,歲
蝋,蠟
邦,邦󠄂
鎌,鎌󠄁
契,契󠄁
即,卽
羽,羽
翼,翼󠄂
翌,翌󠄁
習,習󠄁
翁,翁󠄂
扇,扇󠄁
翔,翔󠄁
鍵,鍵󠄀
尓,爾
衰,𮕩
意,意󠄁
起,起󠄁
評,評󠄁
坪,坪󠄁
称,稱󠄁
添,添󠄁
訟,訟󠄁
頻,頻
繋,繫
繁,繁
弊,弊󠄁
幣,幣󠄁
遷,遷󠄃
壷,壺
穀,穀
戯,戲
誤,誤󠄁
呉,吳
冊,册
芽,芽
侮,侮
臭,臭
晋,晉
姫,姬
渉,涉
